Country,ITU-ICT
Denmark,8.8
"Korea, Rep.",8.8
Iceland,8.7
Sweden,8.5
Switzerland,8.5
United Kingdom,8.5
"Hong Kong SAR, China",8.4
Netherlands,8.4
Norway,8.4
Japan,8.3
Luxembourg,8.3
Australia,8.2
Finland,8.1
Germany,8.1
New Zealand,8.1
United States,8.1
Estonia,8
France,8
Monaco,7.9
Singapore,7.9
Belgium,7.7
Ireland,7.7
Canada,7.6
Austria,7.5
"Macao SAR, China",7.5
Malta,7.5
Spain,7.5
Andorra,7.4
Bahrain,7.4
Israel,7.3
Czech Republic,7.2
Slovenia,7.1
Belarus,7
Lithuania,7
United Arab Emirates,7
Barbados,6.9
Greece,6.9
Italy,6.9
Latvia,6.9
Saudi Arabia,6.9
Croatia,6.8
Qatar,6.8
Russian Federation,6.8
Slovak Republic,6.7
Hungary,6.6
Poland,6.6
Portugal,6.6
Kuwait,6.5
Bulgaria,6.4
Kazakhstan,6.4
Serbia,6.4
Uruguay,6.4
Cyprus,6.3
Argentina,6.2
Azerbaijan,6.2
St. Kitts and Nevis,6.2
Chile,6.1
Costa Rica,6
Oman,6
Lebanon,5.9
Romania,5.9
"Bahamas, The",5.8
"Macedonia, FYR",5.8
Montenegro,5.8
Brazil,5.7
Malaysia,5.6
Moldova,5.6
Trinidad and Tobago,5.5
Turkey,5.5
Antigua and Barbuda,5.4
Armenia,5.3
Brunei Darussalam,5.3
Georgia,5.3
Mauritius,5.3
Ukraine,5.2
"Venezuela, RB",5.2
Dominica,5.1
St. Vincent and the Grenadines,5.1
Thailand,5.1
Bosnia and Herzegovina,5
Colombia,5
Grenada,5
China,4.8
Seychelles,4.8
"Iran, Islamic Rep.",4.7
Jordan,4.7
Maldives,4.7
South Africa,4.7
St. Lucia,4.7
Albania,4.6
Panama,4.6
Ecuador,4.5
Mexico,4.5
Mongolia,4.5
Tunisia,4.5
"Egypt, Arab Rep.",4.3
Morocco,4.3
Cabo Verde,4.2
Fiji,4.2
Jamaica,4.2
Peru,4.2
Dominican Republic,4
Philippines,4
Vietnam,4
Kyrgyz Republic,3.9
Paraguay,3.9
Botswana,3.8
Ghana,3.8
Uzbekistan,3.8
Algeria,3.7
El Salvador,3.6
Indonesia,3.6
Sri Lanka,3.6
Tonga,3.6
Bolivia,3.5
Belize,3.3
Namibia,3.2
Syrian Arab Republic,3.2
Bhutan,3.1
Guatemala,3.1
Honduras,3
Timor-Leste,2.9
Cambodia,2.8
Gabon,2.8
Kenya,2.8
Samoa,2.8
Nicaragua,2.7
Vanuatu,2.7
Zimbabwe,2.7
Cuba,2.6
Sudan,2.6
India,2.5
Lesotho,2.5
Nigeria,2.5
Swaziland,2.5
Cote d'Ivoire,2.4
"Gambia, The",2.4
Guyana,2.4
Senegal,2.4
Bangladesh,2.3
Nepal,2.3
Lao PDR,2.2
Pakistan,2.2
Cameroon,2.1
Kiribati,2.1
Zambia,2.1
Angola,2
Mali,2
Myanmar,2
Solomon Islands,2
"Yemen, Rep.",2
Mauritania,1.9
Uganda,1.9
Benin,1.8
Equatorial Guinea,1.8
Rwanda,1.8
Togo,1.8
Djibouti,1.7
Liberia,1.7
Afghanistan,1.6
Burkina Faso,1.6
Guinea,1.6
Madagascar,1.6
Mozambique,1.6
"Congo, Dem. Rep.",1.5
Malawi,1.5
Tanzania,1.5
South Sudan,1.4
Ethiopia,1.3
Guinea-Bissau,1.3
Burundi,1.2
Chad,1
Niger,1
Suriname,0
