,org,org_tag,as_type,as_ipsize_seen,org_ipsize_seen
13802,1&1 Internet,hosting,hosting,298578.0,73813.0
13803,1&1 Internet,hosting,,298578.0,73813.0
448498,1&1 Internet AG,hosting,hosting,298578.0,181901.0
466748,1&1 Internet AG,hosting,,298578.0,181901.0
4158246,AMAZON,hosting,hosting,908402.0,158265.0
4157959,AMAZON,hosting,,77347.0,158265.0
4157549,AMAZON,hosting,,908402.0,158265.0
4157439,AMAZON,hosting,hosting,748413.0,158265.0
602793,Amazon,,,908402.0,
602832,Amazon,,hosting,748413.0,
602949,Amazon,,,77347.0,
603059,Amazon,,hosting,908402.0,
204921,Amazon AWS Services - Cloudfront - AMS,cdn,,908402.0,40.0
204923,Amazon AWS Services - Cloudfront - DUB,cdn,,908402.0,254.0
3983063,Amazon AWS Services - Cloudfront - FRA,cdn,,77347.0,1266.0
204926,Amazon AWS Services - Cloudfront - LHR,cdn,,908402.0,757.0
5599275,Amazon Data Services Ireland Ltd,hosting,,1000.0,947.0
2579250,Amazon Data Services Ireland Ltd,hosting,hosting,908402.0,947.0
4156253,Amazon Technologies,,,77347.0,79.0
4151924,Amazon Technologies,,hosting,908402.0,79.0
4151987,Amazon Technologies,,,908402.0,79.0
4152259,Amazon Technologies,,hosting,748413.0,79.0
559408,"Amazon Web Services, Elastic Compute Cloud, EC2, E",hosting,hosting,908402.0,16773.0
198056,"Amazon Web Services, Elastic Compute Cloud, EC2, J",hosting,,908402.0,1286.0
104860,"Amazon Web Services, Elastic Compute Cloud, EC2, S",hosting,,77347.0,1653.0
4166782,Amazon.com,hosting,,,844486.0
204968,Amazon.com,hosting,hosting,908402.0,844486.0
211397,Amazon.com,hosting,,908402.0,844486.0
2483563,Amazon.com,hosting,,77347.0,844486.0
26826,Amazon.com,hosting,hosting,748413.0,844486.0
604837,Amazon.com Tech Telecom,,,77347.0,31096.0
83189,"GoDaddy.com, LLC",hosting,,472095.0,426623.0
7125,Godaddy.com,hosting,,472095.0,1391.0
430464,Google,,,2095.0,43506.0
3,Google,,,84522.0,43506.0
1607,Google,,other-intermediary,84522.0,43506.0
13349,Google Cloud,hosting,,84522.0,18591.0
13353,Google Cloud,hosting,other-intermediary,84522.0,18591.0
25441,Google Fiber,,,37289.0,18880.0
1151247,Google Incorporated,other,,11.0,30.0
756218,Google Translate,other,other-intermediary,84522.0,15.0
651163,Googlebot,hosting,other-intermediary,84522.0,331.0
2094728,HETZNER (Pty) Ltd,hosting,,9353.0,3129.0
380139,Hetzner,hosting,,9353.0,2938.0
380253,Hetzner (Pty) Ltd,,,9353.0,
133303,Hetzner Online AG,hosting,hosting,391410.0,240728.0
3119692,Hetzner Online AG,hosting,,27624.0,240728.0
814616,Hetzner Online AG - Rechenzentrum Softwareentwickl,hosting,hosting,391410.0,542.0
814589,Hetzner Online AG - Virtualisierung,hosting,hosting,391410.0,16776.0
459226,Hostgator - India. aka. Tecsys Solutions Pvt. Ltd,hosting,,542087.0,59.0
597123,Hostgator - India. aka. Tecsys Solutions Pvt. Ltd,hosting,hosting,542087.0,59.0
3948506,Hostgator.com LLC,,,4341.0,
3948511,Hostgator.com LLC,,,10721.0,
1771437,IBM - Marketplace at SoftLayer,hosting,,542087.0,21.0
442583,Liquid Web,hosting,hosting,86979.0,3132.0
220511,OVH BE,hosting,,599916.0,1630.0
995547,OVH BV,hosting,,599916.0,1042.0
202466,OVH GmbH,hosting,,599916.0,3144.0
221508,OVH Hispano,hosting,,599916.0,6542.0
130904,OVH Hosting,hosting,,599916.0,80562.0
130919,OVH Hosting,hosting,hosting,599916.0,80562.0
998106,OVH Hosting LD,hosting,hosting,599916.0,437.0
271198,OVH Hosting Limited,hosting,,599916.0,911.0
924150,OVH ISP,hosting,,599916.0,1000.0
220607,OVH Ltd,hosting,,599916.0,4589.0
220678,OVH Ltd,hosting,hosting,599916.0,4589.0
56969,OVH SAS,hosting,,2914.0,337625.0
11572,OVH SAS,hosting,,599916.0,337625.0
201647,OVH SAS,hosting,hosting,599916.0,337625.0
220033,OVH Sp. z o. o.,hosting,,599916.0,4103.0
219489,OVH Srl,hosting,,599916.0,2390.0
56952,OVH Telecom,hosting,,2914.0,2109.0
996228,OVH.CZ s.r.o.,hosting,,599916.0,889.0
2330531,Ovh (nwk),hosting,hosting,599916.0,1086.0
271303,Ovh Hosting Oy,hosting,,599916.0,769.0
2552747,PRODAM Processamento de Dados Amazonas S.A,,,45.0,42.0
146545,SOFTLAYER Corporate,hosting,,542087.0,676.0
596787,SOFTLAYER Corporate,hosting,hosting,542087.0,676.0
5099471,SoftLayer Cloud Services for Perceptive eClinical,other,,542087.0,3.0
173827,SoftLayer Dutch Holdings BV,hosting,hosting,542087.0,156.0
545768,SoftLayer Dutch Holdings BV,hosting,,542087.0,156.0
2257599,SoftLayer Internal - Innovation Heartbeat,hosting,,542087.0,324.0
2345607,SoftLayer Internal - OpenStack Development,hosting,hosting,542087.0,41.0
2341226,SoftLayer Internal - Systems Development - Infrast,hosting,,542087.0,50.0
146820,SoftLayer Internal - Unix IS,hosting,,542087.0,400.0
1769407,SoftLayer Speedtest,hosting,,542087.0,48.0
431602,SoftLayer Speedtest,hosting,hosting,542087.0,48.0
188059,SoftLayer Technologies,hosting,hosting,229881.0,141879.0
2292881,SoftLayer Technologies,hosting,,863.0,141879.0
2948,SoftLayer Technologies,hosting,hosting,542087.0,141879.0
2387402,SoftLayer Technologies,hosting,,5270.0,141879.0
386315,SoftLayer Technologies,hosting,,,141879.0
9707,SoftLayer Technologies,hosting,,542087.0,141879.0
1067096,SoftLayer Technologies,hosting,,76135.0,141879.0
597069,SoftLayer Testing Works,hosting,hosting,542087.0,270.0
89620,Softlayer,hosting,,542087.0,119538.0
459442,Softlayer,hosting,,153.0,119538.0
188013,Softlayer,hosting,hosting,229881.0,119538.0
145902,Softlayer,hosting,hosting,542087.0,119538.0
1769431,Softlayer Corporate C,hosting,,542087.0,3302.0
32016,Softlayer Corporate C,hosting,hosting,542087.0,3302.0
385469,Squarespace,,,71.0,62.0
1402816,This is the assigned Hostgator IPs pool.,hosting,,10721.0,235.0
273350,UAB OVH,hosting,,599916.0,629.0
1279269,basicwind15.hostgator.com,hosting,,76135.0,1.0
32034,softlayer.com,hosting,hosting,542087.0,570.0
31950,standlinux2220.hostgator.com,hosting,,76135.0,1.0
31914,standwind.hostgator.com,hosting,,76135.0,3.0
